date,Dean (Lamaload to Bollington),Harrop Brook,Poynton Brook,Micker (Norbury) Brook,Micker Brook,Sinderland Brook,Mersey/ Manchester Ship Canal  (Irwell/Manchester Ship Canal to Bollin),Mersey (upstream of Manchester Ship Canal),Chorlton Brook (Princess Parkway to Mersey),Platt Brook (Source to Fallowfield Bk),Timperley Brook,Sinderland Brook (Fairywell Bk and Baguley Bk),Bollin (Source to Dean),Mobberley Brook,Birkin Brook - Source to Mobberley Brook,Sugar Brook,Dean (Bollington to Bollin),Birkin Brook - Mobberley Brook to River Bollin (including Rostherne Brook),Bollin (River Dean to Ashley Mill),Bollin (Ashley Mill to Manchester Ship Canal),Fallowfield Brook,Long Clough Brook,Glossop Brook (Long Clough Brook to Etherow),Glossop (Shelf) Brook (Source to Long Clough Brook),Hurst Brook,Etherow (Source to Woodhead Reservoir),Etherow (Woodhead Res. to Glossop Bk.),Crowden Great Brook,Heyden Brook,Goyt (Source to Randall Carr Brook),Randall Carr Brook,Todd Brook,Goyt (Randall Carr Brook to Sett).,Black Brook (Upper Mersey),Poise Brook,Goyt (Sett to Etherow),Sett,Goyt (Etherow to Mersey),Etherow (Glossop Brook to Goyt),Tame (Chew Brook to Swineshaw Brook),Tame (Swineshaw Brook to Mersey),Wilson Brook,Chew Brook,Tame (Source to Chew Brook)
31/01/2011,84.80253468,80.81846116,66.69386889,75.72618618,60.40057207,58.84261029,56.76014178,60.87856242,59.75860412,63.42983474,56.62337325,58.75526677,70.73151024,56.24978581,53.83499184,53.27125611,60.0358169,50.34583597,54.79860523,57.64469291,62.02564821,98.9804423,86.55691438,105.3941448,103.1827396,121.1672078,108.0939391,122.1410779,125.8297461,93.96663019,83.38660756,90.32961941,79.03473455,80.94121818,69.73894475,79.51669479,84.63253754,69.16533046,85.90278316,97.99695489,74.81403162,80.45667931,120.7995451,105.027452
28/02/2011,177.2804045,166.2040549,132.60078,146.6524198,115.9875203,112.1017088,105.2414132,116.4004598,112.9076648,115.3262229,108.2550334,110.7383155,146.7176305,116.2749727,107.5265541,108.3511857,121.3436666,98.0347885,109.0395877,107.5123706,113.5217068,189.6131746,164.8233805,196.3781233,190.0998807,223.7755488,188.0820473,224.5906299,230.90811,203.6918365,181.9554397,188.1683804,158.5436096,173.6430042,124.9240479,150.5945975,178.0057313,123.7572978,158.679246,170.2718526,130.1476027,141.0877348,218.0845345,188.8673957
31/03/2011,16.58093125,16.26215447,15.05727608,13.60199982,15.5993464,14.3165164,14.43842815,15.25716238,15.36038763,15.77016647,14.78952267,14.56428289,16.75574008,16.73524899,16.26387745,15.86507973,16.47939066,15.34697713,15.70067402,14.4499372,15.30630765,19.71413339,17.26131074,23.33785214,21.73385989,23.18761455,23.63136894,26.80027695,25.35609054,18.35022217,15.34397363,17.16597794,14.39972491,13.58003065,14.1958196,14.83366165,14.9128341,14.839245,17.18850711,22.17199196,16.55493819,18.24569267,27.87920229,23.29359517
30/04/2011,18.77834149,17.89118162,14.6128735,16.73101119,12.20202897,14.24116195,14.8127679,12.95715841,12.883882,14.27273145,12.86709903,12.25073696,16.36212109,8.336421955,9.770982518,8.784846816,12.87322444,10.80708008,10.23671,14.20750072,13.66849,18.8706154,18.65581121,19.93004905,16.69478676,18.55231385,22.35585789,23.67194142,19.44873405,18.46267567,16.72418333,19.29737235,16.47820299,15.82146974,13.62924148,16.6999447,16.33900901,14.297897,17.63888174,20.17843671,13.69357352,14.032059,25.04968798,21.50597241
31/05/2011,99.98217844,95.56218263,76.45793142,84.90165997,70.69659465,61.70664811,62.28890765,65.2839606,67.69493921,71.54048511,64.2708378,61.82723219,80.83091117,61.57080905,64.5045957,61.58864297,67.80711111,60.77739623,63.42678612,62.5054467,72.1537448,102.3866053,83.21124503,110.3466573,101.7833144,118.4588601,111.1483065,121.8186513,113.4363006,123.1516747,108.7905316,106.3186811,93.41696311,104.707592,84.70914597,87.32443845,103.5733439,78.62445096,84.05209956,99.47293465,78.34982038,77.69400741,118.3172207,113.1499879
30/06/2011,96.9125399,80.39198643,58.55980192,48.83808514,63.98172624,61.54746923,60.77159111,63.09668399,64.00240214,66.99138069,64.46396672,65.41423611,77.31715398,63.06634556,63.59277425,60.90989125,66.56461833,64.85144996,62.36784212,63.17663522,64.54496688,76.04882549,73.89087357,77.09077226,73.56148149,84.7504868,75.67769858,87.7908007,85.78932864,81.48899426,75.52059468,77.15463675,59.37644606,76.18872329,60.7629076,54.84933263,70.40616497,58.67085547,72.54286584,71.03472355,68.66914045,60.37583517,90.82543995,87.69079458
31/07/2011,129.8178995,115.1573176,86.10535071,89.25400588,78.41594536,58.59848009,61.4698678,69.95121809,70.87303011,72.74356903,63.75527861,63.2883408,100.3219348,76.02824848,70.831729,71.54187497,82.28785948,66.35181982,71.99794992,58.60050932,73.9997841,109.186344,96.54535561,115.3540335,104.7636007,111.6421593,117.2229665,123.0375559,112.0889127,142.2595047,118.8328813,124.4593493,99.05770444,107.6877376,88.10353284,96.71012965,104.4968648,86.48560221,92.60928042,103.8998544,76.21596814,68.65869054,119.7939854,93.00995041
31/08/2011,92.71190259,84.23398252,66.28299747,72.33186326,66.73294579,60.01996927,62.04848035,66.6629926,69.34135574,71.09110315,63.30183844,66.0607391,81.76241819,58.92383896,60.30899249,58.58862453,60.53164737,55.86674198,61.0584631,58.93994072,71.00342343,102.1111369,106.6963724,107.279802,96.87572452,105.5676158,109.1870163,114.0839613,107.5854163,94.75900147,76.31048585,90.07745701,75.71627562,70.76125803,75.94792151,79.43413206,84.01727377,74.87064736,100.3283682,106.9936302,83.72412787,87.89348388,114.6010316,111.1795889
30/09/2011,55.37300989,50.92923525,40.47426625,40.966233,47.68595228,43.8776295,48.04269957,53.81171758,58.73982644,60.42304842,45.65479431,49.43043574,40.81370042,31.91224833,32.75490249,33.44320243,38.00403534,31.94198305,38.46169332,38.2299497,60.48378818,76.66153941,72.40872554,86.62606144,74.10353874,98.08804598,96.43709369,113.5540938,110.5048055,61.87706974,54.1751997,54.37955003,47.39387832,47.89191129,52.53422002,53.74050244,55.11143297,58.08629274,72.27735587,98.89357414,66.84602879,73.24622533,132.4712469,118.116787
31/10/2011,143.5429442,137.7448244,113.7702371,134.3604588,104.3045234,99.43561554,95.36744136,108.9078813,104.9906693,105.8653929,97.56922076,107.1653014,116.6479766,85.44100288,83.46919667,81.66521522,97.0816828,90.46009036,86.49174852,93.50906043,106.48321,192.6032949,169.3567174,213.5688527,193.7854233,213.526877,205.724023,211.4502859,199.3516072,180.3196109,147.2875886,157.4619593,143.462997,141.9253621,125.6546661,143.7807598,172.8478958,122.2190091,160.0957883,161.582259,122.3888667,134.7809015,192.1680136,153.5959451
30/11/2011,46.2115284,44.82281561,37.57057208,36.23264878,38.93263793,40.54857711,39.3822537,43.01505106,40.58079282,38.40117758,40.26182414,42.76630645,41.905299,42.53379786,40.38976239,40.02069356,38.35544051,34.46373907,39.26891505,36.97791324,38.57064464,56.13200819,46.43017047,57.66651815,63.22813845,62.73787978,52.96069485,60.10247303,66.15205138,61.13729448,55.11668493,49.50888805,45.73205409,57.24904561,37.76213464,42.33237857,56.20586238,39.60927654,46.97675856,50.63893586,40.20588877,39.21532799,61.8035078,58.35416721
31/12/2011,200.4808675,192.3310317,169.7243936,171.4497068,164.4705153,161.8534393,154.9767355,161.9748798,157.9688072,169.172501,160.2885729,159.2661563,179.6819143,174.451702,160.8213095,164.7876985,168.4019971,156.1578833,164.4976091,162.4866587,165.8874239,245.6484853,229.2779144,260.6460417,255.6948864,287.9874659,253.4538994,282.2524823,291.9889061,235.3475104,205.9038683,211.2774191,186.0684574,195.2353053,167.6054954,185.1942196,207.7644702,170.5646277,221.3709573,217.0828952,192.2290756,199.8772032,257.051472,226.0722452
