date,Dean (Lamaload to Bollington),Harrop Brook,Poynton Brook,Micker (Norbury) Brook,Micker Brook,Sinderland Brook,Mersey/ Manchester Ship Canal  (Irwell/Manchester Ship Canal to Bollin),Mersey (upstream of Manchester Ship Canal),Chorlton Brook (Princess Parkway to Mersey),Platt Brook (Source to Fallowfield Bk),Timperley Brook,Sinderland Brook (Fairywell Bk and Baguley Bk),Bollin (Source to Dean),Mobberley Brook,Birkin Brook - Source to Mobberley Brook,Sugar Brook,Dean (Bollington to Bollin),Birkin Brook - Mobberley Brook to River Bollin (including Rostherne Brook),Bollin (River Dean to Ashley Mill),Bollin (Ashley Mill to Manchester Ship Canal),Fallowfield Brook,Long Clough Brook,Glossop Brook (Long Clough Brook to Etherow),Glossop (Shelf) Brook (Source to Long Clough Brook),Hurst Brook,Etherow (Source to Woodhead Reservoir),Etherow (Woodhead Res. to Glossop Bk.),Crowden Great Brook,Heyden Brook,Goyt (Source to Randall Carr Brook),Randall Carr Brook,Todd Brook,Goyt (Randall Carr Brook to Sett).,Black Brook (Upper Mersey),Poise Brook,Goyt (Sett to Etherow),Sett,Goyt (Etherow to Mersey),Etherow (Glossop Brook to Goyt),Tame (Chew Brook to Swineshaw Brook),Tame (Swineshaw Brook to Mersey),Wilson Brook,Chew Brook,Tame (Source to Chew Brook)
31/01/2011,4.758935473,4.93386591,5.793485116,5.606626103,6.507669982,6.744544765,6.739201932,6.780425055,6.88344023,6.755598096,6.641143043,6.696898064,5.552242268,6.276036243,6.318541722,6.445514239,6.149543287,6.476267846,6.490170383,6.602344853,6.781722721,4.79693545,5.673515303,4.430481256,4.545633662,3.594978912,4.525677442,3.638322106,3.642194436,4.399566956,5.12465408,4.659763486,5.574380007,5.235321948,6.26141569,5.649244927,4.931651701,6.245281342,5.633853316,5.085023256,6.280841478,5.88964987,3.79569377,4.51572479
28/02/2011,7.415837872,7.643688508,8.688294906,8.444993111,9.516917546,9.775828922,9.720241029,9.824216562,9.976929049,9.826218134,9.662611949,9.722148019,8.390089389,9.33822583,9.462548881,9.49098048,9.128262526,9.590643875,9.502805566,9.645054711,9.856854357,7.4229668,8.419876216,6.955793338,7.098165473,5.964865917,7.078559012,6.070366095,6.064014565,6.807610554,7.730746407,7.259843081,8.381396408,8.023178999,9.21093559,8.468823707,7.641801955,9.173323053,8.405226227,7.724269265,9.18942708,8.700692877,6.235967548,7.019086893
31/03/2011,9.313441986,9.54789031,10.6139989,10.35753481,11.34278623,11.58990816,11.60574436,11.55338205,11.62054646,11.41556014,11.40486494,11.45191546,10.31920947,11.19308209,11.37216069,11.24851231,11.02140113,11.42558801,11.22790038,11.50437107,11.49450757,9.235877674,10.22962305,8.641343923,8.862294382,7.440508654,8.696084912,7.491187487,7.458070537,8.667023196,9.686959851,9.147847663,10.36420365,10.03427221,11.09506839,10.37876803,9.556128994,11.02270342,10.2272642,9.40503249,10.92557877,10.47400639,7.733217198,8.66185363
30/04/2011,15.13762283,15.35381763,16.37973899,16.11611471,17.05042225,17.2736931,17.27424907,17.2342472,17.29932048,17.11619497,17.07977565,17.12386881,16.11846455,16.96437568,17.21450578,16.96115452,16.76655,17.19903647,16.90512103,17.22131226,17.18594247,15.02713507,16.0144032,14.44587653,14.6726958,13.24972584,14.47308943,13.24157382,13.22510341,14.47351678,15.45255436,14.94198171,16.0998472,15.75029925,16.83476132,16.13781872,15.30830201,16.76859127,16.00236739,15.18272948,16.67297018,16.23946557,13.49472155,14.46713127
31/05/2011,14.61928607,14.80698118,15.76890258,15.50871231,16.38977922,16.70185217,16.71003404,16.58469092,16.6008577,16.38580761,16.46798411,16.48729698,15.58287861,16.38940555,16.72780091,16.34401151,16.14858966,16.68555709,16.26448157,16.68705628,16.47374834,14.50315821,15.44629837,13.99080867,14.18361364,12.93143474,14.02331067,12.91032988,12.92427351,13.90486317,14.86449893,14.38311919,15.49754256,15.1780639,16.18873761,15.52817814,14.7528217,16.11923758,15.40397648,14.61876326,16.00688457,15.61620069,13.09614026,13.91662672
30/06/2011,17.04735719,17.24514469,18.21443956,17.98885445,18.87497094,19.05719025,19.02601854,19.02357171,19.05653106,18.86322329,18.87884952,18.92934253,17.98289013,18.76380512,19.06832378,18.72272118,18.57299635,19.01717866,18.67425788,19.00551683,18.94392015,17.04768696,17.93802189,16.51153443,16.726852,15.43244728,16.51689703,15.3841175,15.39295491,16.44455403,17.41318914,16.8755854,18.03195778,17.75800865,18.67267373,18.02924518,17.32550614,18.60549726,17.90687796,17.13735345,18.50730505,18.12649025,15.60341922,16.47146582
31/07/2011,18.07599821,18.2947127,19.30701501,19.08045876,20.01857112,20.26247489,20.26096672,20.19106954,20.19675467,19.9850798,20.04911048,20.09443343,19.01155341,19.89343435,20.20271907,19.8698358,19.67005481,20.17952971,19.82307852,20.20867298,20.0758741,18.13417494,19.08696508,17.6449487,17.82825574,16.56630058,17.68236381,16.54810084,16.54109294,17.50675787,18.42094927,17.93275596,19.04591008,18.67493816,19.80114442,19.11885991,18.32408729,19.74017309,19.04793967,18.33166535,19.66183114,19.28621106,16.78599556,17.69137469
31/08/2011,17.51958353,17.75680555,18.75817272,18.56408514,19.39119934,19.64914184,19.64416371,19.56209534,19.59018473,19.39162833,19.44409242,19.46981539,18.46185454,19.34338484,19.65331578,19.32552172,19.0935256,19.61653243,19.25322753,19.62837856,19.47458171,17.67830863,18.56440329,17.11066414,17.34838656,16.00547055,17.09935271,15.96238471,15.9743403,16.99100093,18.06059983,17.4385778,18.71988958,18.51679209,19.22534248,18.65465749,18.01164077,19.17092449,18.5109947,17.68211773,19.04310794,18.67935897,16.1456549,16.9733725
30/09/2011,17.20095445,17.41062479,18.37578564,18.1585884,18.99868696,19.194639,19.17540635,19.11797295,19.13115591,18.91828743,19.04099747,19.06294608,18.11525678,18.95154414,19.22260012,18.94859437,18.72521233,19.18106717,18.88640523,19.17248824,19.01577034,17.20369961,18.09469708,16.65970665,16.87798647,15.5579472,16.65826492,15.51594312,15.50674905,16.64773938,17.61655538,17.06931492,18.22372635,17.95815447,18.81177131,18.20418357,17.49277844,18.74013772,18.05908669,17.25018349,18.59387408,18.23670005,15.71907769,16.5595502
31/10/2011,14.04394585,14.25068896,15.20121374,14.9891224,15.8556565,16.16469888,16.18477492,16.1077936,16.19974641,16.0490538,15.9746387,16.00386959,14.95770574,15.7839811,15.97080976,15.85714633,15.56585554,16.02498939,15.81840259,16.10110477,16.09121339,14.0929922,14.99963195,13.59078985,13.77912276,12.55885984,13.63827171,12.5759449,12.56467687,13.43402445,14.40285006,13.89796076,15.04228213,14.79487732,15.65475458,15.05489832,14.35591056,15.6229658,14.96247317,14.25162292,15.58006985,15.17536716,12.77402791,13.60496173
