date,Dean (Lamaload to Bollington),Harrop Brook,Poynton Brook,Micker (Norbury) Brook,Micker Brook,Sinderland Brook,Mersey/ Manchester Ship Canal  (Irwell/Manchester Ship Canal to Bollin),Mersey (upstream of Manchester Ship Canal),Chorlton Brook (Princess Parkway to Mersey),Platt Brook (Source to Fallowfield Bk),Timperley Brook,Sinderland Brook (Fairywell Bk and Baguley Bk),Bollin (Source to Dean),Mobberley Brook,Birkin Brook - Source to Mobberley Brook,Sugar Brook,Dean (Bollington to Bollin),Birkin Brook - Mobberley Brook to River Bollin (including Rostherne Brook),Bollin (River Dean to Ashley Mill),Bollin (Ashley Mill to Manchester Ship Canal),Fallowfield Brook,Long Clough Brook,Glossop Brook (Long Clough Brook to Etherow),Glossop (Shelf) Brook (Source to Long Clough Brook),Hurst Brook,Etherow (Source to Woodhead Reservoir),Etherow (Woodhead Res. to Glossop Bk.),Crowden Great Brook,Heyden Brook,Goyt (Source to Randall Carr Brook),Randall Carr Brook,Todd Brook,Goyt (Randall Carr Brook to Sett).,Black Brook (Upper Mersey),Poise Brook,Goyt (Sett to Etherow),Sett,Goyt (Etherow to Mersey),Etherow (Glossop Brook to Goyt),Tame (Chew Brook to Swineshaw Brook),Tame (Swineshaw Brook to Mersey),Wilson Brook,Chew Brook,Tame (Source to Chew Brook)
2000-01-16,5.26449266111917,5.045398125574068,3.845631938685463,4.107493193962774,3.33867796405539,3.6378172686212884,3.722168567092091,3.506583768502797,3.42796962166683,3.492479287102289,3.678709786635858,3.614981913036502,3.9066852798137623,3.490287044061969,3.57912557801377,3.592323888188273,3.387636510807856,3.663699388980971,3.6119973698971934,3.69015358573378,3.4422652332570602,5.522506094187903,3.627478800662601,6.041374312290626,5.848823080347864,7.573633745084191,5.628220347611904,7.2747362697697415,7.302030331406891,6.236900043011906,5.311667123293824,5.769352596879181,4.328901573945963,5.793574471895517,3.2623304574213323,3.7847810951649037,5.692937037217055,3.2825025429805508,3.7954558695004983,4.76360918146301,3.570754720754261,3.77600209608388,7.054722612158054,6.229215006786945
2000-02-16,7.269868127826395,7.047732567232504,5.473768532224977,5.903032863302069,4.680202179315283,4.862882693604385,4.933284243814135,4.7346076854455905,4.636516669950038,4.72820169903506,4.968194028829617,4.887093141681613,5.545751351564211,4.893373073760181,4.949841680886007,4.940300565121784,4.848998691839385,4.980409369115374,4.961866612347761,4.971939157973085,4.682053488190077,8.365885111380454,5.557280648073153,9.444938233495435,9.132518782981526,12.331157017002369,8.492675723516793,10.832576770116606,11.390738698220543,8.55073731193169,7.613128333393821,8.00300051635842,6.468378619375474,8.513354920096797,4.70908498147053,5.683935813910211,8.56104955867884,4.746469996240263,5.679081000245297,6.682973011690127,4.974907097855035,5.427485507409244,9.797810131706493,7.94507645785326
2000-03-16,5.100871575384322,4.986881278554155,4.050983922686672,4.259897552952861,3.636537461439954,3.907523899558897,3.9635682551538403,3.7797277604519173,3.705220212282228,3.7252710329755945,3.952948940492378,3.893520869386409,4.014547044883447,3.764917840291076,3.840525287172454,3.8698746038970886,3.66978658524779,3.9230207165620214,3.890641561107259,3.946290710618764,3.701126912758174,5.261781537015466,3.7409483490483417,5.625767929202443,5.499695146351719,6.7802396929641695,5.315933223461146,6.600863801271924,6.651769166630879,5.814465521418743,5.128399943929604,5.521301913120022,4.428624818326539,5.5166024054113825,3.545859834781366,3.9582241855298923,5.429059301085981,3.5458514277174955,3.901883134034554,4.63765286308094,3.756660021527705,3.9088129463464254,6.394724630940172,5.836206991471605
2000-04-16,5.057867847135373,4.825762961945856,3.9418374790766997,4.073439913762306,3.6770689895203508,3.8074038655454814,3.7720912400211484,3.727907393335824,3.6746994696454367,3.7478110145709667,3.9240776608726367,3.8597543005324266,4.174769264796309,3.922911050687983,3.9494920538138953,3.9215987017761327,3.7483749274244014,3.9419570827974573,3.933160661540178,3.899716779536338,3.721791566624588,4.926918045057569,3.58728477655488,4.998521702957068,4.880633395351947,5.582851962729143,4.849653478528168,5.649035683969905,5.280330780825618,5.282438200797725,4.314605735672881,5.180995042431495,3.884120531473293,4.574951191511201,3.5400439923939166,3.8145012059322805,4.929625040396914,3.553439181662281,3.9064768593186012,4.620315312286913,3.7933947308616474,3.9372645270562536,5.8910728352078525,5.1961051567505185
2000-05-16,4.6563592741456254,4.485975994371735,3.7352474999317495,3.8531142207539713,3.512316033095997,3.679048585758281,3.651780907824342,3.5849922174552193,3.5252595945935203,3.5326586253647347,3.7658104750453454,3.7074557500895957,3.883669031132936,3.729228225608145,3.7639815577601263,3.7505029840066086,3.5582491662843054,3.76506631521311,3.7567409589143375,3.7369651700983924,3.5361438653981,4.628579197217621,3.416548825229874,4.698986760059982,4.630616370827319,5.06204575993183,4.439020955270694,5.03629200911006,4.736439896418839,4.919428346228304,4.155672691340713,4.819605758795805,3.7345821417330827,4.408814464040822,3.366192065285145,3.6077476814800296,4.6306887532387675,3.3658515173484727,3.6500082845364767,4.0706004763569945,3.525574841968349,3.636237005734704,5.0938851052971055,4.338395148357159
2000-06-16,4.934162386402984,4.7740380921548695,4.018226330874252,4.134475266990474,3.8100222202288303,3.965686716376238,3.9151949874762053,3.8908677462002514,3.842705892046703,3.837918416277533,4.069560131347433,4.016094426077576,4.131635708480052,4.023596831407169,4.04401022088841,4.047778572811366,3.8479200967779486,4.066460288007468,4.059687898541052,4.0245330812171085,3.854324764062203,5.002937394388865,3.644011095011866,5.118382834720927,5.0613835634222974,5.719167500614283,4.751424385009859,5.4038943062669675,5.21230716203701,5.162945734710355,4.453129093047941,5.086563512549213,4.002609867819578,4.809026162392,3.6503792986127235,3.8858839808221406,5.022439196216545,3.644324738337454,3.910443382000851,4.235541772082989,3.774242642242597,3.8791743169078154,5.329944848807512,4.322681667760751
2000-07-16,3.7276023418574677,3.5957404559311725,3.0056552416299485,3.091463013409994,2.898722344501952,3.1768221349014656,3.1821116857142937,3.072416244694098,3.0274505542082153,3.0344506617535134,3.201592568628677,3.1541914956246986,3.065679973232036,3.0624002630830334,3.124311189805625,3.1296609502550905,2.8706882230915243,3.189176274812834,3.138157869985157,3.202124622608727,3.023850549501734,4.020764275197458,2.8664187321153305,4.202139328207917,4.157446868191179,4.819311145383396,3.8687505017876096,4.514455012571153,4.384618335841936,4.013645591231956,3.499712361414445,3.8804033562424216,3.0238410761381966,3.9032214582111737,2.7319207824053304,2.887293604433032,4.003071402076594,2.747202988031421,3.000861209024324,3.443094130762501,2.9641234181885117,3.0206503018856883,4.489957323087466,3.7836806128086877
2000-08-16,3.865685083541652,3.7176316216623864,3.072032500883753,3.1398400769273116,2.9286680550191724,3.147736121261672,3.1178537937346067,3.045135961541912,2.9917399977802916,2.9565152487379858,3.2256379509585202,3.1659525103927946,3.1740108358282733,3.14945579099071,3.195797925883483,3.2035401260545506,2.949191561254867,3.2428166468350708,3.2044686533087754,3.2096472481201843,2.978921495373055,3.81799089389819,2.653884510016015,3.943049362523566,3.899860465846347,4.72391814771006,3.6235542328771193,4.302168288286383,4.277717654793965,4.100374898305093,3.4843029457360775,3.9849968098495805,3.02190009232595,3.800358747616191,2.738155239396444,2.871797976846965,3.8916697843590717,2.7159116433205988,2.8736975143552725,3.165199152679364,2.8422287658844305,2.8840413659496718,4.191337372757065,3.349786077310543
2000-09-16,5.041466088376206,4.8560667145074445,3.977164535008066,4.14109917828953,3.6364571617818715,3.617282910959785,3.5462751633010203,3.5984783326291954,3.5625081584838405,3.6110032763331232,3.7723197599275693,3.726640915653583,4.1476245486657,3.8493326421542604,3.8265154372437196,3.8065812893255897,3.748906722956052,3.7844324587853837,3.8215335826822803,3.7062961431106003,3.617605483073137,5.010986181272274,3.621630689375416,5.1057646997851425,5.021179639992267,5.718427700235421,4.784827475714352,5.446808422802904,5.2219384332246035,5.219066363112787,4.406498764064382,5.185035853032205,4.015106840775527,4.696455175582374,3.566753484666218,3.936171954321552,5.016247329141424,3.5691048661889737,3.9399100635886595,4.300339146060429,3.6569468129135054,3.851017105016633,5.409704883703696,4.367800563465274
2000-10-16,6.421927959368191,6.151990780664206,4.847983213105363,5.096606701777306,4.378719942210601,4.527263813751758,4.49704931711717,4.446608258726681,4.37989778542075,4.511660962010535,4.684245329958046,4.604740279117045,5.04544479174281,4.685160410586376,4.704737980636622,4.692114089010239,4.489818236623426,4.717795672496406,4.705358323572929,4.643894622240093,4.455085741251459,6.725815241138834,4.655202161998484,7.128969578254793,6.915581571399106,8.564764725635008,6.733099582699068,8.175411557162862,7.983934455126199,6.926223069834924,5.7957200907904936,6.722391784459059,5.029064244174584,6.336273903040935,4.256219342091935,4.804143046103741,6.6990304360737944,4.29321564437208,4.972098318838079,6.0643315594406255,4.646035613531701,4.929699370689974,8.16723415374206,6.972609386821296
2000-11-16,6.792502148775633,6.550153235156874,5.151231040771789,5.420972990720799,4.553477001902578,4.646861477886015,4.596112376697275,4.557833602415032,4.4804586983057035,4.5211459407594194,4.847597525349244,4.764040817036043,5.31027286908636,4.868130053624892,4.875962446054997,4.863868467723033,4.721082879807378,4.864703396332042,4.888429808383415,4.783771997268475,4.5299896281154926,6.485732830771572,4.367986593353611,6.639581957324794,6.480769010454663,7.707653257700432,6.2765407580124055,7.447955244489518,7.172943511250277,7.184521168299251,5.8784388017929405,7.104881468339605,5.304380420473526,6.190488840233237,4.43818898006204,5.028031958518421,6.623519012756159,4.421203436432979,4.895636866512135,5.573337388659666,4.560860341860394,4.828662209034526,7.363875570788292,6.0044557238348695
